sand,silt,clay,ll,pl
4.7,68.37,26.93,40,23
1.4,64.52,34.08,43,26
18.9,39.43,41.67,39,21
18.7,41.15,40.15,62,33
8,65.8,26.2,38,22
9.1,40.28,50.62,48,24
2.3,60.76,36.95,48,27
2,48.16,49.84,56,31
19,41.91,39.09,54,25
3.9,51.52,44.58,48,27
12.9,56.32,30.78,48,25
0.5,48.3,51.2,59,30
25.6,51.74,22.66,31,21
8,51.08,40.92,51,27
12,44.35,43.65,41,20
29.7,44.56,25.74,37,18
6.5,49.6,43.9,59,28
12.7,62.29,25.02,42,17
4.4,45.54,50.06,53,26
10.7,46.06,43.24,43,23
31.6,45.13,23.27,31,19
3.4,45.2,51.4,46,25
2.2,56.58,41.22,43,24
15.3,52.24,32.45,49,24
1.5,48.03,50.47,44,26
20.7,58.34,20.96,31,20
23.8,54.82,21.39,33,22
6.9,56.56,36.54,53,26
22.8,55.13,22.07,30,19
0.6,29.3,70.1,58,29
5.1,55.32,39.58,50,25
24.4,38.04,37.56,33,23
2.4,55.39,42.21,48,23
1.1,49.61,49.29,52,22
1.8,38.6,59.6,57,24
14.2,45.45,40.35,41,18
1.6,77,21.41,37,24
11,58,31,42,24
22.5,57.03,20.47,30,21
8,41.86,50.14,43,25
41.8,34.88,23.32,32,19
34.1,55.94,9.96,40,22
15,75.24,9.75,55,32
2.8,62.13,35.08,54,26
13.3,47.05,39.65,36,16
39.4,40.06,20.54,37,16
1,75.28,23.72,45,26
17,75.74,7.26,31,21
16.7,35.8,47.51,52,24
10.9,60.83,28.27,48,23
2.9,47.57,49.53,65,33
6.3,82.7,11,41,23
1.6,73.81,24.59,46,24
0.6,74.3,25.1,50,27
2.1,42.99,54.91,59,27
15,57.77,27.23,45,26
24.2,48.15,27.65,28,16
3.1,62.94,33.96,48,24
3.7,65.24,31.06,45,26
59,28.26,12.74,34,17
10.8,49.54,39.66,55,27
50.8,33.03,16.17,32,22
25.8,62.84,11.37,36,20
14,36.46,49.54,54,20
18.3,50.8,30.9,36,17
65.1,26.03,8.87,23,15
48.8,44.07,7.13,48,25
2.6,63.52,33.88,38,21
3,73.42,23.58,45,23
20.6,64.57,14.82,35,20
27.3,49.77,22.94,30,16
