sand,silt,clay,ll,pl
11.1,66.33,22.58,31,20
7.3,70.17,22.52,36,24
11.1,64.04,24.87,38,23
1.6,79,19.39,39,28
7.3,71.07,21.63,37,25
1.6,42.03,56.37,45,25
3.1,66.18,30.72,37,23
2.1,70.02,27.89,39,21
2.5,73.8,23.69,39,26
0.9,68.94,30.16,37,25
1.6,74.28,24.12,39,30
4.3,65.27,30.43,38,23
1.9,62.39,35.72,55,26
2.9,76,21.1,37,26
0.3,73.66,26.03,42,28
1.9,72.29,25.81,37,26
7.9,69.73,22.37,28,21
2.2,69.42,28.39,37,24
5.8,73.03,21.17,37,21
39.2,44.09,16.71,28,19
19.1,54.05,26.85,40,22
3.8,64.82,31.38,37,21
3,57.5,39.49,44,23
2.5,69.25,28.25,39,22
10.6,74.25,15.16,40,28
8.5,78.47,13.03,38,26
2,80.19,17.81,38,27
3.2,64.3,32.5,50,20
44.5,41.14,14.36,27,18
9.5,75.22,15.27,38,26
4.3,67.87,27.84,39,23
1.4,57.7,40.9,56,24
5.5,65.06,29.44,39,21
3.7,69.44,26.87,41,22
2.3,75.48,22.22,36,28
5.4,62.98,31.62,34,21
40.2,43.43,16.36,28,20
3.2,66.27,30.54,36,22
1.5,59.73,38.77,43,20
36.6,47.63,15.77,38,21
9,66.04,24.96,43,23
1.9,85.36,12.75,54,37
45.9,38.72,15.38,25,18
11.5,58.08,30.42,41,21
1.3,53.31,45.39,42,23
8.3,54.14,37.56,34,19
0.3,22.69,77.01,40,25
1.2,41.67,57.13,55,27
8.1,53.53,38.37,44,19
0.7,68,31.29,65,32
2.1,64.81,33.09,39,22
7.8,69.28,22.92,36,21
2.4,67.23,30.37,38,23
4.5,56.58,38.92,54,32
3.2,61.77,35.03,37,24
3.9,64.2,31.9,37,20
1.8,62.5,35.7,42,26
0.6,37.1,62.31,48,24
4.7,68.37,26.93,40,23
18.9,39.43,41.67,39,21
18.7,41.15,40.15,62,33
8,65.8,26.2,38,22
9.1,40.28,50.62,48,24
2,48.16,49.84,56,31
3.9,51.52,44.58,48,27
12.9,56.32,30.78,48,25
0.5,48.3,51.2,59,30
25.6,51.74,22.66,31,21
8,51.08,40.92,51,27
29.7,44.56,25.74,37,18
6.5,49.6,43.9,59,28
12.7,62.29,25.02,42,17
4.4,45.54,50.06,53,26
10.7,46.06,43.24,43,23
31.6,45.13,23.27,31,19
3.4,45.2,51.4,46,25
2.2,56.58,41.22,43,24
15.3,52.24,32.45,49,24
1.5,48.03,50.47,44,26
20.7,58.34,20.96,31,20
23.8,54.82,21.39,33,22
6.9,56.56,36.54,53,26
22.8,55.13,22.07,30,19
0.6,29.3,70.1,58,29
5.1,55.32,39.58,50,25
24.4,38.04,37.56,33,23
2.4,55.39,42.21,48,23
1.1,49.61,49.29,52,22
1.8,38.6,59.6,57,24
14.2,45.45,40.35,41,18
1.6,77,21.41,37,24
11,58,31,42,24
22.5,57.03,20.47,30,21
8,41.86,50.14,43,25
34.1,55.94,9.96,40,22
2.8,62.13,35.08,54,26
13.3,47.05,39.65,36,16
39.4,40.06,20.54,37,16
1,75.28,23.72,45,26
17,75.74,7.26,31,21
10.9,60.83,28.27,48,23
2.9,47.57,49.53,65,33
6.3,82.7,11,41,23
1.6,73.81,24.59,46,24
0.6,74.3,25.1,50,27
15,57.77,27.23,45,26
24.2,48.15,27.65,28,16
3.1,62.94,33.96,48,24
3.7,65.24,31.06,45,26
59,28.26,12.74,34,17
10.8,49.54,39.66,55,27
50.8,33.03,16.17,32,22
25.8,62.84,11.37,36,20
14,36.46,49.54,54,20
65.1,26.03,8.87,23,15
48.8,44.07,7.13,48,25
2.6,63.52,33.88,38,21
3,73.42,23.58,45,23
20.6,64.57,14.82,35,20
27.3,49.77,22.94,30,16
