sand,silt,clay,ll,pl
5,59.04,35.96,34,21
11.1,66.33,22.58,31,20
7.3,70.17,22.52,36,24
11.1,64.04,24.87,38,23
1.6,79,19.39,39,28
7.3,71.07,21.63,37,25
1.6,42.03,56.37,45,25
3.1,66.18,30.72,37,23
2.1,70.02,27.89,39,21
2.5,73.8,23.69,39,26
0.9,68.94,30.16,37,25
1.6,74.28,24.12,39,30
1.7,83.18,15.12,48,26
4.3,65.27,30.43,38,23
1.9,62.39,35.72,55,26
2.9,76,21.1,37,26
3,68.22,28.78,38,24
0.3,73.66,26.03,42,28
1.5,58.07,40.44,61,32
1.9,72.29,25.81,37,26
7.9,69.73,22.37,28,21
2.2,69.42,28.39,37,24
5.8,73.03,21.17,37,21
39.2,44.09,16.71,28,19
19.1,54.05,26.85,40,22
3.8,64.82,31.38,37,21
3,57.5,39.49,44,23
2.5,69.25,28.25,39,22
10.6,74.25,15.16,40,28
8.5,78.47,13.03,38,26
2,80.19,17.81,38,27
3.2,64.3,32.5,50,20
44.5,41.14,14.36,27,18
9.5,75.22,15.27,38,26
4.3,67.87,27.84,39,23
1.4,57.7,40.9,56,24
5.5,65.06,29.44,39,21
3.7,69.44,26.87,41,22
2.3,75.48,22.22,36,28
5.4,62.98,31.62,34,21
40.2,43.43,16.36,28,20
3.2,66.27,30.54,36,22
1.5,59.73,38.77,43,20
36.6,47.63,15.77,38,21
1.7,87.27,11.03,38,27
9,66.04,24.96,43,23
1.9,85.36,12.75,54,37
45.9,38.72,15.38,25,18
11.5,58.08,30.42,41,21
1.3,53.31,45.39,42,23
2.7,70.66,26.64,37,23
3.7,58.37,37.93,40,22
8.3,54.14,37.56,34,19
0.3,22.69,77.01,40,25
4.6,70.32,25.08,38,26
1.2,41.67,57.13,55,27
0.7,58.66,40.64,67,36
8.1,53.53,38.37,44,19
0.7,68,31.29,65,32
2.1,64.81,33.09,39,22
